,fire_size_class,latitude,longitude,discovery_month,disc_dow,Vegetation,remoteness,elevation,Temp,Wind,Humidity,Precipitation
40287,B,37.29,-97.01,Apr,4,0,0.270009791,363,14.97887989,5.661356927,61.96818843,3.166666667
40288,B,36.4117,-78.2483,Apr,4,0,0.099980438,115,13.97410481,2.390194845,46.46670668,0
40289,C,17.98333333,-67.13333333,Feb,1,12,0.021253431,90,23.02596673,4.645743416,73.75285192,0
40290,B,33.7958,-84.5692,May,1,16,0.157681327,323,22.18196669,3.213726131,62.56609141,52.8
40291,B,35.0969399,-101.962813,Jul,5,15,0.318348407,1130,24.40007499,5.6091349,66.09903527,136.4666667
40293,F,65.5814,-153.5108,Jun,1,0,0.856202848,0,10.77879592,2.15994341,56.09377325,0
40294,B,34.89666667,-79.35333333,Jun,4,16,0.110594255,66,23.32646966,2.686832371,67.98090274,8.5
40295,B,32.51278999,-95.26027,Sep,2,12,0.256584424,133,26.44538806,2.524787601,57.63971602,54.66666667
40296,C,31.80546348,-81.9523625,Mar,5,12,0.135690056,20,14.9658913,2.455441863,70.38930345,0
40298,C,31.337258,-90.160442,Oct,4,12,0.210189342,138,20.60468772,2.820498068,60.17674862,3.933333333
40299,C,47.31557133,-117.2976812,Aug,2,15,0.464504784,754,23.40022503,2.698646479,37.10599694,1.8
40300,B,44.73821,-98.50457,Oct,6,15,0.281036618,400,14.8823806,3.812422533,59.03723852,2.433333333
40301,B,35.585667,-88.6015,Mar,4,15,0.193047469,122,12.78595375,3.701092473,60.04929647,19.13333333
40302,C,31.78017439,-89.63935961,May,1,12,0.205082704,135,21.99444681,2.570653184,64.80693568,0
40305,C,31.12539989,-95.54916,Sep,6,12,0.260307601,96,25.99084341,1.586112223,56.6339084,0
40307,D,31.342157,-86.930456,Mar,5,12,0.180725941,77,-3.638134921,4.82452381,87.70162373,0
40309,B,30.15405,-95.40886667,Jul,0,12,0.259747643,40,29.22497152,2.575863057,72.77757859,31.56666667
40310,B,43.9153,-102.2352,Aug,6,9,0.316845925,889,25.22467176,3.627596836,65.99903723,25.33333333
40313,B,33.26654253,-83.7481394,Mar,3,16,0.150675456,177,10.41413656,1.204852646,60.51157096,0
40314,B,32.7525,-114.6167,Jul,0,12,0.444019394,37,34.07469451,3.282396227,20.78068399,0
