,Classifier,Parameters,Accuracy,Precision,Recall,F1-Score,CV Splits,Training time
0,DummyClassifier,"[('strategy', 'stratified')]",0.4937169500830948,0.48980931729445376,0.48875009785844353,0.4775710222910904,10,0.0009984970092773438
1,KNeighborsClassifier,"[('n_neighbors', 28), ('weights', 'distance')]",0.5982533232369859,0.6012007183072728,0.6097943095076399,0.6004226114779145,10,0.08591103553771973
2,GaussianNB,[],0.5755290765176195,0.6011828893252806,0.5869054582416541,0.5887831070996458,10,0.004995584487915039
3,SVC,"[('C', 2), ('kernel', 'rbf')]",0.5960586642739706,0.6220081798554744,0.6011437822177046,0.603867422709364,10,16.485156297683716
4,DecisionTreeClassifier,"[('criterion', 'gini'), ('max_depth', 4)]",0.5967475955108793,0.609533248593066,0.6107348644016124,0.6100843882557601,10,0.02897024154663086
5,RandomForestClassifier,"[('criterion', 'entropy'), ('max_depth', 16), ('n_estimators', 500)]",0.6057418036947001,0.6162251974692696,0.6174602058241527,0.6167955067304716,10,24.798662662506104
6,HistGradientBoostingClassifier,"[('max_depth', None), ('max_iter', 2500)]",0.6066457145228105,0.6304607684518995,0.6239957177781582,0.6263730184034393,10,0.25473999977111816
7,MLPClassifier,"[('activation', 'relu'), ('alpha', 0.0001), ('hidden_layer_sizes', (50, 50)), ('learning_rate', 'constant'), ('solver', 'adam')]",0.6019975542042718,0.6246770091128068,0.6177754213959611,0.6201893758909471,10,14.944729566574097
