,Classifier,Parameters,Accuracy,Precision,Recall,F1-Score,CV Splits,Training time
0,DummyClassifier,"[('strategy', 'stratified')]",0.49922510285901006,0.4985860070915852,0.498439038485896,0.48660132115776966,10,0.00099945068359375
1,KNeighborsClassifier,"[('n_neighbors', 28), ('weights', 'uniform')]",0.6022115891152088,0.5977972099939755,0.6076603589606828,0.5924527388473362,10,0.042955875396728516
2,GaussianNB,[],0.5729480988957985,0.6228186420488386,0.5918747577406824,0.592380456076216,10,0.004994630813598633
3,SVC,"[('C', 0.25), ('kernel', 'rbf')]",0.6032023179119529,0.650282593065985,0.6197365682523659,0.6239477854293307,10,17.766859531402588
4,DecisionTreeClassifier,"[('criterion', 'entropy'), ('max_depth', 4)]",0.6185663198887426,0.669266381519239,0.6397176712299995,0.6456225544130179,10,0.01598334312438965
5,RandomForestClassifier,"[('criterion', 'gini'), ('max_depth', 4), ('n_estimators', 2500)]",0.6236451062228127,0.6749791336539512,0.6446413034553736,0.6509396585878421,10,9.837948560714722
6,HistGradientBoostingClassifier,"[('max_depth', None), ('max_iter', 1000)]",0.6327253358801419,0.6528451392691995,0.6481494093168876,0.6501327979902993,10,0.3046891689300537
7,MLPClassifier,"[('activation', 'logistic'), ('alpha', 0.0001), ('hidden_layer_sizes', (25, 25)), ('learning_rate', 'constant'), ('solver', 'adam')]",0.6313479550080279,0.6520236034953454,0.6454213068541645,0.6480230410474515,10,4.055856227874756
