,Classifier,Parameters,Accuracy,Precision,Recall,F1-Score,CV Splits,Training time
0,DummyClassifier,"[('strategy', 'stratified')]",0.5010755462659938,0.49367699229903955,0.4930234090126513,0.4831382505586308,10,0.0009992122650146484
1,KNeighborsClassifier,"[('n_neighbors', 28), ('weights', 'distance')]",0.6754174375381113,0.6876613679283712,0.6949927346072646,0.6904809193102928,10,0.23076415061950684
2,GaussianNB,[],0.5853002193880992,0.5969036918676607,0.597425479601845,0.5971532243174593,10,0.0069942474365234375
3,SVC,"[('C', 2), ('kernel', 'poly')]",0.6265280295896086,0.7071848056728267,0.6316261304639222,0.6354940408254907,10,13.121593952178955
4,DecisionTreeClassifier,"[('criterion', 'entropy'), ('max_depth', 16)]",0.6711134001598917,0.6805518268865653,0.6900560545894178,0.6836504833823398,10,0.1318652629852295
5,RandomForestClassifier,"[('criterion', 'entropy'), ('max_depth', 16), ('n_estimators', 500)]",0.6820027110471281,0.7006769513612077,0.7036976807389761,0.7020735257833703,10,15.813355922698975
6,HistGradientBoostingClassifier,"[('max_depth', 16), ('max_iter', 500)]",0.6918153457566815,0.7053916967237563,0.7086213129643503,0.706880912036373,10,0.7542297840118408
7,MLPClassifier,"[('activation', 'relu'), ('alpha', 0.0001), ('hidden_layer_sizes', (250, 250)), ('learning_rate', 'constant'), ('solver', 'adam')]",0.6711575222851927,0.6799739473142175,0.674070758496818,0.6765869884922477,10,37.57161283493042
