,Classifier,Parameters,Accuracy,Precision,Recall,F1-Score,CV Splits,Training time
0,DummyClassifier,"[('strategy', 'stratified')]",0.5035720768814141,0.5021952888861212,0.5024232296532406,0.4894182795109381,10,0.00099945068359375
1,KNeighborsClassifier,"[('n_neighbors', 26), ('weights', 'distance')]",0.6695217250528465,0.6702002410308705,0.6752811799277852,0.6722859095338563,10,0.004995107650756836
2,GaussianNB,[],0.6007493907738449,0.6223298050501602,0.6197158827277143,0.6208521546509318,10,0.010989189147949219
3,SVC,"[('C', 2), ('kernel', 'poly')]",0.6582458176596676,0.6945499967541282,0.6678555539360735,0.6750644123591365,10,13.286425590515137
4,DecisionTreeClassifier,"[('criterion', 'entropy'), ('max_depth', 16)]",0.6605272945913165,0.6631571631330202,0.6774284965060557,0.6640043259825474,10,0.28470945358276367
5,RandomForestClassifier,"[('criterion', 'entropy'), ('max_depth', 16), ('n_estimators', 1000)]",0.6983991188911602,0.7102798652270406,0.710887491749658,0.7105796272462939,10,41.975624561309814
6,HistGradientBoostingClassifier,"[('max_depth', 16), ('max_iter', 1000)]",0.6949567966225644,0.7137701193256749,0.7140800638005228,0.713924071162535,10,0.9410390853881836
7,MLPClassifier,"[('activation', 'relu'), ('alpha', 0.05), ('hidden_layer_sizes', (250, 250)), ('learning_rate', 'constant'), ('solver', 'adam')]",0.675332675638289,0.7071865134656677,0.6763184794293595,0.6844849400814095,10,25.892545223236084
