,latitude,longitude,remoteness,Fall,Spring,Summer,Winter,is_weekend,is_weekday
0,0.00287162541734165,0.9866063338594873,0.017923388,0,0,0,1,1,0
1,0.3343189494471943,0.7774070653332892,0.184354952,0,0,0,1,0,1
2,0.3325469384348472,0.7662484768777652,0.194543513,0,0,0,1,1,0
3,0.424418281911923,0.4594670371338063,0.487447455,0,0,1,0,0,1
4,0.261478144070458,0.8196978755782997,0.148903825,0,0,0,1,1,0
5,0.2534087096836577,0.717752499721888,0.241893505,1,0,0,0,1,0
6,0.35119112911478345,0.7327608761857983,0.224629406,0,0,1,0,0,1
7,0.6044576157499458,0.6559564880651603,0.291682627,0,1,0,0,0,1
8,0.25224640643603624,0.8223625172896687,0.146888352,0,1,0,0,1,0
9,0.2702941989126548,0.7218711972721972,0.237431209,0,0,1,0,1,0
10,0.3137719816125778,0.6216855614917911,0.330323382,0,0,0,1,0,1
11,0.3480235094806232,0.8587825126535134,0.111342709,0,0,0,1,0,1
12,0.3096803967113285,0.6929938237790192,0.262885026,0,0,0,1,1,0
13,0.263791814516972,0.7634702242874255,0.199485364,0,1,0,0,1,0
14,0.0005973124930856444,0.9836486710281753,0.020531527,0,0,0,1,0,1
15,0.34764025549534927,0.7300144090726056,0.227269734,0,0,0,1,1,0
16,0.31277158085966184,0.8406557828654456,0.128446275,0,1,0,0,1,0
17,0.4849116104348121,0.8747402828780887,0.094047941,0,1,0,0,1,0
18,0.2576656081966714,0.7724982893758675,0.191511624,0,0,1,0,1,0
19,0.6043323437629309,0.6553035225802837,0.292302716,0,1,0,0,1,0
20,0.33147038229643755,0.8059780665182461,0.158699888,0,0,0,1,0,1
21,0.307520120442752,0.6983670175759353,0.257938124,1,0,0,0,0,1
22,0.2603432969191156,0.8046330178005514,0.16241594,1,0,0,0,0,1
23,0.29915412439617917,0.6038626810175041,0.347990707,0,0,1,0,1,0
24,0.20488754137988197,0.839783724591556,0.133388985,0,1,0,0,1,0
25,0.2920199587244461,0.8264447572994997,0.141766232,0,0,0,1,1,0
26,0.2859066113778753,0.6914974696183236,0.265119968,1,0,0,0,0,1
27,0.3818099247749548,0.8387795575584112,0.127991883,0,1,0,0,0,1
28,0.2793886907112153,0.7085164683361742,0.249481022,0,0,1,0,0,1
29,0.5725697729734927,0.7186018569636278,0.233241731,0,1,0,0,1,0
30,0.2279833895608817,0.6559554850459823,0.300849982,0,0,0,1,0,1
31,0.5068272841448178,0.5709709740191857,0.374651711,0,0,1,0,0,1
32,0.28245301967733216,0.7064077509069276,0.251330447,1,0,0,0,1,0
33,0.3646224392350611,0.6900117976118736,0.263942762,0,0,0,1,1,0
34,0.34283359538667124,0.8091024712577083,0.155543155,1,0,0,0,1,0
35,0.47848866863985706,0.9197492297590054,0.055253401,0,1,0,0,0,1
36,0.3691276636249845,0.8271400994419293,0.138669868,0,1,0,0,0,1
37,0.22630454919740195,0.8210383994758784,0.14911702,1,0,0,0,0,1
38,0.29064500843197916,0.7075498728969084,0.249971632,0,0,0,1,0,1
39,0.5751554997260067,0.7251199061783887,0.227184588,0,1,0,0,1,0
40,0.2312052282811845,0.6809166205102318,0.277157817,0,0,0,1,0,1
41,0.5085658242438721,0.6680298298104141,0.28137141,1,0,0,0,0,1
42,0.5301335814345036,0.7631141487680654,0.192858208,0,1,0,0,0,1
43,0.28024862418082885,0.6254406325937643,0.327900661,0,0,0,1,0,1
44,0.32045427693831186,0.4774736827577324,0.472150203,0,0,1,0,1,0
45,0.38886804937188246,0.7158435535220212,0.239193315,1,0,0,0,1,0
46,0.4610104250564644,0.5577822748476964,0.388408431,0,0,1,0,0,1
47,0.2654824106777457,0.8206260623038805,0.147923431,0,0,0,1,0,1
48,0.2804952316784042,0.829656005946941,0.139329817,0,1,0,0,0,1
49,0.33161131328182925,0.5384544633957229,0.410841248,0,0,1,0,0,1
50,0.33940275229602024,0.44771466142520944,0.501749805,0,0,1,0,1,0
51,0.1443829137152391,0.8456569435090875,0.131003293,0,1,0,0,0,1
52,0.5854162737236761,0.7041174569158881,0.246574558,0,1,0,0,1,0
53,0.5042153632155565,0.7581667501529682,0.197762667,0,0,1,0,0,1
54,0.3348118168125811,0.7198331626044241,0.237079695,1,0,0,0,0,1
55,0.2797676320125987,0.8245131365471894,0.143927842,0,0,0,1,1,0
56,0.2903003987015873,0.8051183056606863,0.160867452,0,0,0,1,0,1
57,0.5443520057885053,0.4893188778610609,0.455089149,0,0,1,0,1,0
58,0.2569315926477558,0.7680147936502187,0.195613592,0,0,0,1,0,1
59,0.4618902609172776,0.9098846060538368,0.064044485,0,1,0,0,1,0
60,0.3247605014919501,0.8635995122558464,0.107853338,0,0,0,1,1,0
61,0.2844953445406351,0.812445534177974,0.15451747,0,1,0,0,0,1
62,0.3784630364254139,0.8213082116347599,0.143596061,0,1,0,0,0,1
63,0.25788158493178437,0.8381452677891195,0.132657171,1,0,0,0,1,0
64,0.31694122802093205,0.8096028182471778,0.155929136,0,0,0,1,0,1
65,0.3318109655111344,0.7992859225626467,0.164694062,0,1,0,0,1,0
66,0.21886652496839032,0.8303664778312553,0.141133311,1,0,0,0,1,0
67,0.33428901002951017,0.7005827933604667,0.254986745,0,0,0,1,0,1
68,0.576544146161404,0.7083993457867594,0.242672334,0,1,0,0,0,1
69,0.24034050805150464,0.674814554542483,0.282524787,1,0,0,0,0,1
70,0.3757990493265495,0.5827182563963964,0.366082682,1,0,0,0,1,0
71,0.24378508056045756,0.621548918183134,0.333033724,0,0,1,0,1,0
